Date,Open,High,Low,Close,Adj Close,Volume
5/22/2017,284.5,284.5,277,278.899994,278.171112,179466
5/23/2017,279.049988,286,267.200012,283.549988,282.80896,99813
5/24/2017,280,283.950012,274.049988,280.149994,279.417847,51695
5/25/2017,282.399994,291.700012,279.049988,290.299988,289.541321,197488
5/26/2017,291.5,294.899994,289.850006,293.149994,292.383881,73143
5/29/2017,295,295.899994,266.75,292.100006,291.336639,126305
5/30/2017,294.899994,294.899994,280.399994,290.25,289.491486,87467
5/31/2017,295,295,288,289.850006,289.092529,69941
6/1/2017,290,293.399994,287,290.350006,289.591217,34802
6/2/2017,292.200012,292.5,285.049988,287.5,286.748657,32654
6/5/2017,289.799988,295.450012,286,292.5,291.735596,53781
6/6/2017,290.850006,299.950012,288.549988,293,292.234283,104357
6/7/2017,293,297.25,290,290.399994,289.641083,65484
6/8/2017,290,295.5,289,290.049988,289.291992,176271
6/9/2017,291,293.899994,289,291.799988,291.037415,414661
6/12/2017,290.75,293.450012,286.5,287.299988,286.549164,60570
6/13/2017,284.549988,291.899994,284.5,287,286.249969,51355
6/14/2017,288.299988,288.850006,284,284.850006,284.105591,50383
6/15/2017,286.149994,287,281.399994,282.850006,282.110809,34528
6/16/2017,281.149994,286,281.149994,282.700012,281.961212,19146
6/19/2017,282.700012,291.200012,282.5,288.600006,287.845795,81981
6/20/2017,290,290,285.100006,286.399994,285.65152,29227
6/21/2017,284.299988,286,282,282.149994,281.412628,27987
6/22/2017,284.899994,285.049988,281,281.5,280.764343,37792
6/23/2017,283.899994,284.350006,272.100006,273.25,272.535889,73112
6/27/2017,268.600006,274.950012,264,269.299988,268.596222,130431
6/28/2017,266.350006,268.549988,260.450012,262.299988,261.614502,51677
6/29/2017,263.100006,265.950012,260.649994,263.850006,263.160461,42024
6/30/2017,264.399994,283,261.600006,274.299988,273.58313,133923
7/3/2017,277.950012,280.399994,271,271.899994,271.189423,29054
7/4/2017,272.600006,273.700012,268.049988,271,270.291779,225137
7/5/2017,272.5,292.299988,269.399994,286.200012,285.452057,189341
7/6/2017,291,294,277,278.75,278.021515,223844
7/7/2017,278.75,280,274.549988,275.549988,274.829865,71384
7/10/2017,276,280,272,274.049988,273.333801,8751
7/11/2017,275.299988,277.299988,270,271.350006,270.640869,49901
7/12/2017,277,277,270.549988,274.350006,273.633026,48772
7/13/2017,272.549988,275.549988,270,270.950012,270.241913,49808
7/14/2017,271.399994,272.700012,267,267.450012,266.751068,46490
7/17/2017,271,271.450012,265,266.100006,265.404602,58003
7/18/2017,264.899994,266.799988,262,262.850006,262.163086,37769
7/19/2017,266.950012,268,262.549988,264.399994,263.709015,40616
7/20/2017,267.299988,268,257,258.799988,258.123657,127086
7/21/2017,258.549988,275.049988,258,273.149994,272.436157,307618
